trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9987502603949663, 'e': 0.9987502603949663}",25,0,-162.31556122897143,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.9950041652780258, 'e': 0.9950041652780258}",25,0,-86.34146435801864,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.9887710779360422, 'e': 0.9887710779360422}",25,0,-73.35454827456525,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.9800665778412416, 'e': 0.9800665778412416}",20,13,-4.75743009508801,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.9689124217106447, 'e': 0.9689124217106447}",20,4,-63.7750575516379,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.955336489125606, 'e': 0.955336489125606}",25,0,-94.53196848326334,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.9393727128473789, 'e': 0.9393727128473789}",25,15,-14.452444388129733,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.9210609940028851, 'e': 0.9210609940028851}",20,0,-81.43258755988445,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.9004471023526769, 'e': 0.9004471023526769}",35,20,-57.24108030773757,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.8775825618903728, 'e': 0.8775825618903728}",20,0,-13.864903731187864,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.8525245220595057, 'e': 0.8525245220595057}",25,0,-110.52672398695235,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.8253356149096782, 'e': 0.8253356149096782}",20,0,-32.85258606186077,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
