trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.4595454416278,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.4893806548873,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.63765834035377,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.41973140070064,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-187.22859971259345,"{0: 19, 1: 3, 2: 11, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.86751270798482,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.314057940202,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.367938266412644,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,22,7.905485157437599,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.7121830787875,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,4,-58.611993320280064,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.23239773614232,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.44874967431718,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.54141260110187,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.6279925638805,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.00715000231864,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.90661326177641,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.5895910268023,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.7354253922316,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.32258423140256,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.89145940243069,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-278.4867907400864,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.867315821578316,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.21696634782228,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.17495545937888,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.096572977988,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.47091489686835,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.16877370428749,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.72625017070919,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.28103244035913,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
